window_start,window_end,active_patients,new_arrivals,admissions,discharges,avg_wait_minutes,high_attention_count
2026-08-24T18:00:00Z,2026-08-24T18:15:00Z,8,8,0,0,169.0,5
2026-08-24T18:15:00Z,2026-08-24T18:30:00Z,12,4,0,0,169.0,5
2026-08-24T18:30:00Z,2026-08-24T18:45:00Z,12,0,0,0,169.0,5
2026-08-24T18:45:00Z,2026-08-24T19:00:00Z,12,0,0,0,169.0,5
2026-08-24T19:00:00Z,2026-08-24T19:15:00Z,12,0,0,0,169.0,5
2026-08-24T19:15:00Z,2026-08-24T19:30:00Z,12,0,0,0,169.0,5
2026-08-24T19:30:00Z,2026-08-24T19:45:00Z,11,0,0,1,169.0,5
2026-08-24T20:00:00Z,2026-08-24T20:15:00Z,9,0,0,2,169.0,5
2026-08-24T20:30:00Z,2026-08-24T20:45:00Z,8,0,0,1,169.0,5
2026-08-24T20:45:00Z,2026-08-24T21:00:00Z,7,0,1,0,169.0,5
2026-08-24T21:00:00Z,2026-08-24T21:15:00Z,5,0,0,2,169.0,5
