cohort_key,match_level,triage_level,age_group,arrival_hour,patient_count,avg_wait_minutes,median_wait_minutes,p90_wait_minutes,avg_los_minutes,median_los_minutes,p90_los_minutes,admission_rate
OVERALL|ALL|ALL|ALL,OVERALL,ALL,ALL,ALL,16025,36.03,14.0,91.0,298.61,191.0,556.0,0.132356
TRIAGE|1|ALL|ALL,TRIAGE,1,ALL,ALL,139,24.95,9.5,55.0,526.65,293.5,1146.0,0.453237
TRIAGE|2|ALL|ALL,TRIAGE,2,ALL,ALL,1595,28.54,12.0,65.0,470.45,290.0,992.0,0.339185
TRIAGE|3|ALL|ALL,TRIAGE,3,ALL,ALL,5340,37.55,15.0,97.0,315.62,228.0,577.0,0.135206
TRIAGE|4|ALL|ALL,TRIAGE,4,ALL,ALL,2826,35.45,15.0,91.0,190.68,132.0,350.0,0.02017
TRIAGE|5|ALL|ALL,TRIAGE,5,ALL,ALL,307,30.76,13.0,79.0,184.47,94.0,338.0,0.029316
TRIAGE|ALL|ALL|ALL,TRIAGE,ALL,ALL,ALL,5818,37.59,14.0,94.0,289.63,171.0,531.0,0.125301
TRIAGE_AGE|1|0-17|ALL,TRIAGE_AGE,1,0-17,ALL,11,40.0,34.0,76.0,208.64,148.0,388.0,0.090909
TRIAGE_AGE|1|18-44|ALL,TRIAGE_AGE,1,18-44,ALL,45,24.47,7.5,39.0,323.78,257.0,636.0,0.444444
TRIAGE_AGE|1|45-64|ALL,TRIAGE_AGE,1,45-64,ALL,32,18.12,8.0,55.0,499.54,375.0,912.0,0.40625
TRIAGE_AGE|1|65-74|ALL,TRIAGE_AGE,1,65-74,ALL,17,26.67,4.0,30.0,693.53,237.0,1535.0,0.529412
TRIAGE_AGE|1|75+|ALL,TRIAGE_AGE,1,75+,ALL,34,24.97,10.5,56.0,809.69,436.5,1391.0,0.588235
TRIAGE_AGE|2|0-17|ALL,TRIAGE_AGE,2,0-17,ALL,201,29.56,19.0,80.0,361.37,246.0,734.0,0.208955
TRIAGE_AGE|2|18-44|ALL,TRIAGE_AGE,2,18-44,ALL,452,29.52,11.0,59.0,468.88,275.5,957.0,0.179204
TRIAGE_AGE|2|45-64|ALL,TRIAGE_AGE,2,45-64,ALL,450,29.46,12.0,65.0,517.75,315.5,1119.0,0.408889
TRIAGE_AGE|2|65-74|ALL,TRIAGE_AGE,2,65-74,ALL,255,28.86,11.5,63.0,452.15,295.0,977.0,0.431373
TRIAGE_AGE|2|75+|ALL,TRIAGE_AGE,2,75+,ALL,237,24.09,9.0,53.0,495.89,337.0,1170.0,0.523207
TRIAGE_AGE|3|0-17|ALL,TRIAGE_AGE,3,0-17,ALL,847,40.15,17.0,106.0,238.43,176.5,414.0,0.054309
TRIAGE_AGE|3|18-44|ALL,TRIAGE_AGE,3,18-44,ALL,1890,38.06,15.0,98.0,290.79,215.0,514.0,0.074603
TRIAGE_AGE|3|45-64|ALL,TRIAGE_AGE,3,45-64,ALL,1367,38.95,14.0,100.0,358.27,254.0,686.0,0.155084
TRIAGE_AGE|3|65-74|ALL,TRIAGE_AGE,3,65-74,ALL,586,36.86,16.0,91.0,366.21,280.0,681.0,0.223549
TRIAGE_AGE|3|75+|ALL,TRIAGE_AGE,3,75+,ALL,650,30.61,13.0,74.0,353.83,250.0,635.0,0.295385
TRIAGE_AGE|4|0-17|ALL,TRIAGE_AGE,4,0-17,ALL,893,40.74,18.0,106.0,158.4,124.0,310.0,0.010078
TRIAGE_AGE|4|18-44|ALL,TRIAGE_AGE,4,18-44,ALL,1125,30.32,14.0,82.0,191.18,124.0,352.0,0.010667
TRIAGE_AGE|4|45-64|ALL,TRIAGE_AGE,4,45-64,ALL,540,35.5,14.0,87.0,221.83,144.0,434.0,0.038889
TRIAGE_AGE|4|65-74|ALL,TRIAGE_AGE,4,65-74,ALL,153,44.24,18.0,115.0,254.01,151.0,400.0,0.03268
TRIAGE_AGE|4|75+|ALL,TRIAGE_AGE,4,75+,ALL,115,33.83,14.0,78.0,208.14,184.0,409.0,0.086957
TRIAGE_AGE|5|0-17|ALL,TRIAGE_AGE,5,0-17,ALL,94,36.42,17.0,110.0,153.37,100.5,331.0,0.042553
TRIAGE_AGE|5|18-44|ALL,TRIAGE_AGE,5,18-44,ALL,111,29.49,13.5,66.0,216.5,94.0,329.0,0.0
TRIAGE_AGE|5|45-64|ALL,TRIAGE_AGE,5,45-64,ALL,58,22.82,12.5,51.0,214.51,85.0,310.0,0.034483
TRIAGE_AGE|5|65-74|ALL,TRIAGE_AGE,5,65-74,ALL,24,50.2,11.5,96.0,143.67,118.5,356.0,0.125
TRIAGE_AGE|5|75+|ALL,TRIAGE_AGE,5,75+,ALL,20,11.56,8.5,26.0,120.75,58.0,347.0,0.0
TRIAGE_AGE|ALL|0-17|ALL,TRIAGE_AGE,ALL,0-17,ALL,1381,39.4,16.0,119.0,234.05,146.0,406.0,0.053584
TRIAGE_AGE|ALL|18-44|ALL,TRIAGE_AGE,ALL,18-44,ALL,2053,35.86,15.0,88.0,271.46,157.5,502.0,0.08037
TRIAGE_AGE|ALL|45-64|ALL,TRIAGE_AGE,ALL,45-64,ALL,1256,40.28,14.0,87.0,316.86,183.0,643.0,0.133758
TRIAGE_AGE|ALL|65-74|ALL,TRIAGE_AGE,ALL,65-74,ALL,546,43.28,14.0,117.0,372.98,222.0,704.0,0.234432
